score,r_alignment_reward,w_alignment_reward,active_alignment_reward,r_combined_success_reward,w_combined_success_reward,active_combined_success_reward,r_distance_object_another_reward,w_distance_object_another_reward,active_distance_object_another_reward,r_distance_object_reward,w_distance_object_reward,active_distance_object_reward,r_episode_length_penalty,w_episode_length_penalty,active_episode_length_penalty,r_fingertip_another_object_reward,w_fingertip_another_object_reward,active_fingertip_another_object_reward,r_fingertip_object_reward,w_fingertip_object_reward,active_fingertip_object_reward,r_penalty_drop_object,w_penalty_drop_object,active_penalty_drop_object,r_penalty_drop_object_another,w_penalty_drop_object_another,active_penalty_drop_object_another,r_penalty_object,w_penalty_object,active_penalty_object,r_penalty_object_another,w_penalty_object_another,active_penalty_object_another,r_pos_reward,w_pos_reward,active_pos_reward,r_simultaneity_reward,w_simultaneity_reward,active_simultaneity_reward,r_success_object_another_reward,w_success_object_another_reward,active_success_object_another_reward,r_success_object_reward,w_success_object_reward,active_success_object_reward,r_success_reward,w_success_reward,active_success_reward,r_task_completion_bonus,w_task_completion_bonus,active_task_completion_bonus,r_task_reward,w_task_reward,active_task_reward,r_vel_object_another_reward,w_vel_object_another_reward,active_vel_object_another_reward,r_vel_object_reward,w_vel_object_reward,active_vel_object_reward,r_vel_reward,w_vel_reward,active_vel_reward,env_id,seed
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,2.0,1,,2.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,2.0,1,,2.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,2.0,1,,2.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.005,1,,0.005,1,,0,0,,0,0,,0.005,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.005,1,,0.005,1,,0,0,,0,0,,0.005,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.005,1,,0.005,1,,0,0,,0,0,,0.005,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
0.0,,0,0,,0,0,,1.0,1,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_two_catch_underarm,42
